Orgin,Destination,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920
GBR,USA,73273,81376,102991,76606,65950,57713,62929,93378,108692,87992,69730,66605,42215,35189,22520,28833,24565,12752,12894,13456,12509,14985,16898,33637,51448,84189,67198,79037,62824,46793,68941,73384,57148,60328,48729,27237,16063,10735,2516,6797,38471
IRL,USA,72342,76432,81486,63344,51795,49619,68370,73513,65557,53024,55706,51383,43578,30231,46304,40262,28421,25128,31673,35730,30561,29138,35310,36142,52945,34995,34530,30556,25033,29855,29112,25879,27876,24688,14185,8639,5406,331,474,9591,
DEU,USA,84638,210485,250630,194786,179676,124443,84403,106865,109717,99538,92427,113554,119168,78756,53989,32173,31885,22533,17111,17476,18507,21651,28304,40086,46380,40574,37564,37807,32309,25540,31283,32061,27788,34329,35734,7799,2877,1857,447,52,1001
POL,USA,2177,5614,4672,2011,4536,3085,3939,6128,5826,4922,11073,27497,40536,16374,1941,790,691,4165,4726,4813
GRC,USA,23,19,126,73,37,172,104,313,782,158,524,1105,660,1072,1356,597,2175,571,2339,2333,3771,5910,8104,14090,11343,10515,19489,36580,21489,14111,25888,26226,21449,22817,35832,12592,27034,23974,1910,386,11981
ITA,USA,12354,15401,32159,31792,16510,13642,21315,47622,51558,25307,52003,76055,61631,72145,42977,35427,68060,59431,58613,77419,100135,135996,178375,230622,193296,221479,273120,285731,128503,183218,215537,182882,157134,265542,283738,49688,33665,34596,5250,1884,95145
PRT,USA,808,1215,1436,1573,1927,2024,1194,1360,1625,2024,2600,2999,3400,4816,2190,1452,2766,1874,1717,2054,4234,4165,5307,9317,6715,5028,8517,9608,7307,4956,8229,8374,10230,14171,10898,4907,12259,9975,2224,1222,15472
ESP,USA,389,484,378,262,300,350,344,436,526,526,813,905,4078,206,920,501,351,448,577,385,355,592,975,2080,3996,2600,1921,5784,3899,2616,3472,5074,6327,6167,7591,2762,5769,10232,4295,1573,18821
CHN,USA,5802,11890,39579,8031,279,22,40,10,26,118,1716,2836,,472,1170,539,1441,3363,2071,1660,1247,2459,1649,2209,4309,2166,1544,961,1397,1943,1968,1460,1765,2105,2502,2660,2460,2237,1795,1964,2330
IND,USA,21,33,10,9,12,34,17,32,20,59,43,42,17,9,22,93,94,261,190,216,898,1040,203,1696,524,175,179,221,161,112,109,130,171,300
JPN,USA,4,11,5,27,20,49,194,229,404,640,691,1136,,1380,1931,1150,1110,1526,2230,2844,12635,5269,14270,19968,14264,10331,13835,30226,15803,3111,2720,4520,6114,8281,8929,8613,8680,8991,10213,10064,9432
TUR,USA,4,5,15,208,273,593,1126,2488,2767,4139,4732,4275,4436,3962,5782,6223,7118,5235,6157,6354,8053,9753,7506,15212,10229,12788,23955,21716,3543,1670,393,43,19,5033
CAN,USA,99744,125450,98366,70274,60626,38336,,,,28,183,234,,,194,244,278,291,352,1322,396,540,636,1058,2837,2168,5063,19918,38510,51941,56555,56830,55990,73802,86139,82215,101551,105399,32452,57782,90025
MEX,USA,492,325,366,469,430,323,109,116,150,91,107,161,237,347,709,528,1009,2637,1997,1406,6067,16251,18691,19889,23238,11926,14614,12340,18425,17869,18524,29818,52361