Year,Total_Ad106_Number ,NorthwesternEurope_GreatBritain_Ad107_Number ,NorthwesternEurope_Ireland_Ad108_Number ,NorthwesternEurope_Scandinavia_Ad109_Number ,NorthwesternEurope_Other_Ad110_Number ,CentralEurope_Germany_Ad111_Number ,CentralEurope_Poland_Ad112_Number ,CentralEurope_Other_Ad113_Number ,EasternEurope_FormerSovietUnionAndBalticStates_Ad114_Number ,EasternEurope_Other_Ad115_Number ,Greece_Ad116_Number ,Italy_Ad117_Number ,Portugal_Ad118_Number ,Spain_Ad119_Number ,Other_Ad120_Number ,Total_Ad136_Number ,ArabStates_Ad137_Number ,China_Ad138_Number ,HongKong_Ad139_Number ,India_Ad140_Number ,Iran_Ad141_Number ,Israel_Ad142_Number ,Japan_Ad143_Number ,Korea_Ad144_Number ,Philippines_Ad145_Number ,SoutheastAsia_Ad146_Number ,Turkey_Ad147_Number ,Other_Ad148_Number ,Total_Ad162_Number ,Canada_Ad163_Number ,CentralAmerica_Mexico_Ad164_Number ,CentralAmerica_ElSalvador_Ad165_Number ,CentralAmerica_Other_Ad166_Number ,Caribbean_Cuba_Ad167_Number ,Caribbean_DominicanRepublic_Ad168_Number ,Caribbean_Haiti_Ad169_Number ,Caribbean_Jamaica_Ad170_Number ,Caribbean_Other_Ad171_Number ,Other_Ad172_Number ,Africa_Total_Ad206_Number ,Africa_North_Ad207_Number ,Africa_Sub-Saharan_Ad208_Number ,Africa_NotSpecified_Ad209_Number ,Oceania_Total_Ad210_Number ,Oceania_AustraliaAndNewZealand_Ad211_Number ,Oceania_Other_Ad212_Number ,OtherAndUnknown_Ad213_Number 
1880,348691,73273,71603,65657,15042,84638,2177,17267,5014,35,23,12354,808,389,411,5839,,5802,,21,,,4,,,,4,8,101604,99744,492,,17,,,,,1351,,18,,,18,954,953,1,63
1881,528545,81376,72342,81582,26883,210485,5614,27935,5041,102,19,15401,1215,484,66,11982,,11890,,33,,,11,,,,5,43,127467,125450,325,,12,,,,,1680,,33,,,33,1191,1188,3,103
1882,648186,102991,76432,105326,27796,250630,4672,29150,16918,134,126,32159,1436,378,38,39629,,39579,,10,,,5,,,,,35,100038,98366,366,,15,,,,,1291,,60,,,60,889,878,11,99
1883,522587,76606,81486,71994,24271,194786,2011,27625,9909,163,73,31792,1573,262,36,8113,,8031,,9,,,27,,,,,46,71652,70274,469,,6,,,,,903,,67,,,67,747,554,193,79
1884,453686,65950,63344,52728,18768,179676,4536,36571,12689,388,37,16510,1927,300,262,510,,279,,12,,,20,,,,,199,63274,60626,430,,10,,,,,2208,,59,,,59,900,502,398,98
1885,353083,57713,51795,40704,13732,124443,3085,27309,17158,941,172,13642,2024,350,15,198,,22,,34,,,49,,,,,93,41159,38336,323,,23,,,,,2477,,112,,,112,679,449,230,71
1886,329529,62929,49619,46735,11737,84403,3939,28680,17800,670,104,21315,1194,344,60,317,,40,,17,,,194,,,,15,51,2780,,,,29,,,,,2734,17,122,,,122,1136,522,614,73
1887,482829,93378,68370,67629,17307,106865,6128,40265,30766,2251,313,47622,1360,436,139,615,,10,,32,,,229,,,,208,136,4904,,,,19,,,,,4876,9,40,,,40,1282,528,754,73
1888,538131,108692,73513,81924,23251,109717,5826,45811,33487,1393,782,51558,1625,526,26,843,,26,,20,,,404,,,,273,120,4962,,,,67,,,,,4880,15,65,,,65,2387,697,1690,61
1889,434790,87992,65557,57504,22010,99538,4922,34174,33916,1145,158,25307,2024,526,17,1725,,118,,59,,,640,,,,593,315,5032,28,,,81,,,,,4923,0,187,,,187,2196,1000,1196,70
1890,445680,69730,53024,50368,20575,92427,11073,56199,35598,723,524,52003,2600,813,23,4448,,1716,,43,,,691,,,,1126,872,3395,183,,,142,,,,,3070,0,112,,,112,1167,699,468,62
1891,546085,66605,55706,60107,21824,113554,27497,71042,47426,1222,1105,76055,2999,905,38,7678,,2836,,42,,,1136,,,,2488,1176,4418,234,,,278,,,,,3906,0,103,,,103,1301,777,524,70
1892,570876,42215,51383,66295,21731,119168,40536,76937,81511,1331,660,61631,3400,4078,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,267,,8520
1893,429324,35189,43578,58945,17888,78756,16374,57420,42310,625,1072,72145,4816,206,0,2392,,472,,,,,1380,,,,,540,2593,,,,,,,,,2593,,,,,,248,248,,5173
1894,277052,22520,30231,32400,9514,53989,1941,38638,39278,1027,1356,42977,2190,920,71,4690,,1170,,,,,1931,,,,,1589,3512,194,109,,,,,,,3177,32,24,,,24,244,244,,70
1895,250342,28833,46304,26852,7313,32173,790,33401,35907,768,597,35427,1452,501,24,4495,,539,,,,,1150,,,,2767,39,3472,244,116,,16,,,,,3096,0,36,,,36,155,155,,0
1896,329067,24565,40262,33199,7611,31885,691,65103,51445,954,2175,68060,2766,351,0,6764,,1441,,,,,1110,,,,4139,74,7268,278,150,,12,,,,,6828,0,21,,,21,112,87,25,0
1897,216397,12752,28421,21089,5323,22533,4165,33031,25816,943,571,59431,1874,448,0,9662,,3363,,,,,1526,,,,4732,41,4488,291,91,,5,,,,,4101,0,37,,,37,199,139,60,0
1898,217786,12894,25128,19282,4698,17111,4726,39797,29828,1076,2339,58613,1717,577,0,8637,,2071,,,,,2230,,,,4275,61,2588,352,107,,5,,,,,2124,0,48,,,48,201,153,48,0
1899,297349,13456,31673,22192,5150,17476,,62491,60982,1738,2333,77419,2054,385,0,8972,,1660,,17,,,2844,,,,4436,15,4227,1322,161,,159,,,,,2585,0,51,,,51,810,456,354,217
1900,424700,12509,35730,31151,5822,18507,,114847,90787,6852,3771,100135,4234,355,0,17946,,1247,,9,,,12635,,,,3962,93,5331,396,237,,42,,,,,4656,0,30,,,30,428,214,214,13
1901,469237,14985,30561,39234,9279,21651,,113390,85257,8199,5910,135996,4165,592,18,13593,,2459,,22,,,5269,,,,5782,61,4213,540,347,,130,,,,,3176,20,173,,,173,498,325,173,1
1902,619068,16898,29138,54038,10322,28304,,171989,107347,8234,8104,178375,5307,975,37,22271,,1649,,93,,,14270,,,,6223,36,6361,636,709,,254,,,,,4711,51,37,,,37,566,384,182,103
1903,814507,33637,35310,77647,17009,40086,,206011,136093,12600,14090,230622,9317,2080,5,29966,,2209,,94,,,19968,,,,7118,577,10434,1058,528,,597,,,,,8170,81,176,,,176,1349,1150,199,25
1904,767933,51448,36142,60096,23321,46380,,177156,145141,12756,11343,193296,6715,3996,143,26186,,4309,,261,,,14264,,,,5235,2117,14753,2837,1009,,605,,,,,10193,109,686,,,686,1555,1461,94,90
1905,974273,84189,52945,60625,24693,40574,,275693,184897,11022,10515,221479,5028,2600,13,23925,,2166,,190,,,10331,,,,6157,5081,22641,2168,2637,,1072,,,,,16641,123,757,,,757,2166,2091,75,161
1906,1018365,67198,34995,52781,23277,37564,,265138,215665,18652,19489,273120,8517,1921,48,22300,,1544,,216,,,13835,,,,6354,351,21856,5063,1997,,1140,,,,,13656,0,712,,,712,1733,1682,51,33102
1907,1199566,79037,34530,49965,26512,37807,,338452,258943,36510,36580,285731,9608,5784,107,40524,,961,,898,,,30226,,,,8053,386,38983,19918,1406,,970,,,,,16689,0,1486,,,1486,1989,1947,42,22
1908,691901,62824,30556,30175,22177,32309,,168509,156711,27345,21489,128503,7307,3899,97,28365,,1397,,1040,,,15803,,,,9753,372,57682,38510,6067,,1217,,,,,11888,0,1411,,,1411,1179,1098,81,17
1909,654875,46793,25033,32496,17756,25540,,170191,120460,11659,14111,183218,4956,2616,46,12904,,1943,,203,,,3111,,,,7506,141,80302,51941,16251,,930,,,,,11180,0,858,,,858,892,839,53,49
1910,926291,68941,29855,48267,23852,31283,,258737,186792,25287,25888,215537,8229,3472,151,23533,,1968,,1696,,,2720,,,,15212,1937,87383,56555,18691,,893,,,,,11244,0,1072,,,1072,1097,998,99,43
1911,764757,73384,29112,42285,25549,32061,,159057,158721,21655,26226,182882,8374,5074,377,17428,,1460,,524,,,4520,,,,10229,695,91315,56830,19889,,1193,,,,,13403,0,956,,,956,1043,984,59,39
1912,718875,57148,25879,27554,22921,27788,,178882,162395,20925,21449,157134,10230,6327,243,21449,,1765,,175,,,6114,,,,12788,607,92937,55990,23238,,1242,,,,,12467,0,1009,,,1009,898,794,104,15
1913,1055855,60328,27876,32267,28086,34329,,254825,291040,18036,22817,265542,14171,6167,371,35358,,2105,,179,,,8281,,,,23955,838,99659,73802,11926,,1473,,,,,12458,0,1409,,,1409,1340,1229,111,23
1914,1058391,48729,24688,29391,25591,35734,,278152,255660,21420,35832,283738,10898,7591,967,34273,,2502,,221,,,8929,,,,21716,905,116826,86139,14614,,1622,,,,,14451,0,1539,,,1539,1446,1336,110,136
1915,197919,27237,14185,17883,12096,7799,,18511,26187,2892,12592,49688,4907,2762,1180,15211,,2660,,161,,,8613,,,,3543,234,107405,82215,12340,,1252,,,,,11598,0,934,,,934,1399,1282,117,31
1916,145699,16063,8639,14761,8715,2877,,5191,7842,1167,27034,33665,12259,5769,1717,13204,,2460,,112,,,8680,,,,1670,282,133138,101551,18425,,1135,,,,,12027,0,894,,,894,1574,1484,90,31
1917,133083,10735,5406,13771,6731,1857,,1258,12716,369,23974,34596,9975,10232,1463,12756,,2237,,109,,,8991,,,,393,1026,140848,105399,17869,,2073,,,,,15507,0,566,,,566,1142,1014,128,77
1918,31063,2516,331,6506,3146,447,,61,4242,93,1910,5250,2224,4295,42,12701,,1795,,130,,,10213,,,,43,520,62075,32452,18524,,2220,,,,,8879,0,299,,,299,1090,925,165,47
1919,24627,6797,474,5590,5126,52,,53,1403,51,386,1884,1222,1573,16,12674,,1964,,171,,,10064,,,,19,456,99015,57782,29818,,2589,,,,,8826,0,189,,,189,1310,1234,76,46
1920,246295,38471,9591,13444,24491,1001,4813,5666,1751,3913,11981,95145,15472,18821,1735,17505,,2330,,300,,,9432,,,,5033,410,158554,90025,52361,,2360,,,,,13808,0,648,,,648,2185,2066,119,702